frame,x,y,dx_from_ref,dy_from_ref
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,667.0,455.0,-302.0,-41.0
28,685.0,462.0,-284.0,-34.0
29,745.0,483.0,-224.0,-13.0
30,802.0,496.0,-167.0,0.0
31,904.0,510.0,-65.0,14.0
32,979.0,513.0,10.0,17.0
33,1089.0,504.0,120.0,8.0
34,1155.0,494.0,186.0,-2.0
35,1232.0,473.0,263.0,-23.0
36,1266.0,460.0,297.0,-36.0
37,1291.0,451.0,322.0,-45.0
38,1288.0,451.0,319.0,-45.0
39,1255.0,462.0,286.0,-34.0
40,1216.0,475.0,247.0,-21.0
41,1134.0,495.0,165.0,-1.0
42,1069.0,505.0,100.0,9.0
43,963.0,511.0,-6.0,15.0
44,892.0,508.0,-77.0,12.0
45,796.0,494.0,-173.0,-2.0
46,744.0,481.0,-225.0,-15.0
47,693.0,464.0,-276.0,-32.0
48,677.0,460.0,-292.0,-36.0
49,686.0,462.0,-283.0,-34.0
50,713.0,471.0,-256.0,-25.0
51,779.0,490.0,-190.0,-6.0
52,840.0,502.0,-129.0,6.0
53,944.0,513.0,-25.0,17.0
54,1017.0,514.0,48.0,18.0
55,1117.0,501.0,148.0,5.0
56,1175.0,489.0,206.0,-7.0
57,1240.0,467.0,271.0,-29.0
58,1266.0,458.0,297.0,-38.0
59,1279.0,455.0,310.0,-41.0
60,1268.0,458.0,299.0,-38.0
61,1225.0,473.0,256.0,-23.0
62,1180.0,487.0,211.0,-9.0
63,1093.0,503.0,124.0,7.0
64,1025.0,512.0,56.0,16.0
65,922.0,511.0,-47.0,15.0
66,854.0,504.0,-115.0,8.0
67,767.0,489.0,-202.0,-7.0
68,724.0,475.0,-245.0,-21.0
69,686.0,462.0,-283.0,-34.0
70,680.0,460.0,-289.0,-36.0
71,703.0,468.0,-266.0,-28.0
72,737.0,479.0,-232.0,-17.0
73,815.0,498.0,-154.0,2.0
74,879.0,508.0,-90.0,12.0
75,984.0,515.0,15.0,19.0
76,1054.0,511.0,85.0,15.0
77,1147.0,497.0,178.0,1.0
78,1197.0,484.0,228.0,-12.0
79,1249.0,466.0,280.0,-30.0
80,1267.0,460.0,298.0,-36.0
81,1267.0,460.0,298.0,-36.0
82,1248.0,467.0,279.0,-29.0
83,1196.0,484.0,227.0,-12.0
84,1146.0,496.0,177.0,0.0
85,1055.0,511.0,86.0,15.0
86,988.0,516.0,19.0,20.0
87,886.0,510.0,-83.0,14.0
88,824.0,502.0,-145.0,6.0
89,749.0,483.0,-220.0,-13.0
90,714.0,472.0,-255.0,-24.0
91,689.0,463.0,-280.0,-33.0
92,693.0,464.0,-276.0,-32.0
93,728.0,476.0,-241.0,-20.0
94,770.0,488.0,-199.0,-8.0
95,853.0,505.0,-116.0,9.0
96,919.0,512.0,-50.0,16.0
97,1021.0,513.0,52.0,17.0
98,1086.0,506.0,117.0,10.0
99,1169.0,490.0,200.0,-6.0
100,1212.0,477.0,243.0,-19.0
101,1250.0,465.0,281.0,-31.0
102,1260.0,461.0,291.0,-35.0
103,1247.0,466.0,278.0,-30.0
104,1221.0,474.0,252.0,-22.0
105,1160.0,490.0,191.0,-6.0
106,1107.0,500.0,138.0,4.0
107,1016.0,510.0,47.0,14.0
108,950.0,510.0,-19.0,14.0
109,855.0,506.0,-114.0,10.0
