frame,x,y,dx_from_ref,dy_from_ref
1,1334,449,362,-43
2,1321,451,349,-41
3,1303,463,331,-29
4,1241,486,269,-6
5,1178,500,206,8
6,1068,528,96,36
7,988,535,16,43
8,866,523,-106,31
9,792,514,-180,22
10,699,489,-273,-3
11,655,468,-317,-24
12,619,459,-353,-33
13,619,459,-353,-33
14,653,469,-319,-23
15,698,489,-274,-3
16,794,516,-178,24
17,871,528,-101,36
18,999,538,27,46
19,1081,531,109,39
20,1190,512,218,20
21,1249,497,277,5
22,1307,476,335,-16
23,1327,468,355,-24
24,1323,469,351,-23
25,1299,479,327,-13
26,1237,501,265,9
27,1178,518,206,26
28,1070,536,98,44
29,993,542,21,50
30,872,537,-100,45
31,799,525,-173,33
32,707,502,-265,10
33,663,487,-309,-5
34,629,473,-343,-19
35,629,473,-343,-19
36,662,487,-310,-5
37,707,502,-265,10
38,802,529,-170,37
39,877,541,-95,49
40,1001,548,29,56
41,1081,543,109,51
42,1184,524,212,32
43,1240,509,268,17
44,1296,490,324,-2
45,1313,481,341,-11
46,1309,482,337,-10
47,1287,491,315,-1
48,1226,511,254,19
49,1170,527,198,35
50,1066,544,94,52
51,990,549,18,57
52,874,544,-98,52
53,803,534,-169,42
54,713,510,-259,18
55,669,496,-303,4
56,634,482,-338,-10
57,634,481,-338,-11
58,668,495,-304,3
59,713,510,-259,18
60,806,532,-166,40
61,878,544,-94,52
62,997,549,25,57
63,1072,542,100,50
64,1171,525,199,33
65,1223,510,251,18
66,1276,492,304,0
67,1293,485,321,-7
68,1289,485,317,-7
69,1268,492,296,0
70,1211,512,239,20
71,1158,525,186,33
72,1059,542,87,50
73,987,546,15,54
74,874,540,-98,48
75,806,530,-166,38
76,719,508,-253,16
77,678,494,-294,2
78,646,481,-326,-11
79,647,481,-325,-11
80,681,494,-291,2
81,724,508,-248,16
82,813,530,-159,38
83,883,540,-89,48
84,996,545,24,53
85,1068,539,96,47
86,1162,523,190,31
87,1212,509,240,17
88,1262,492,290,0
89,1278,485,306,-7
90,1275,486,303,-6
91,1255,494,283,2
92,1200,511,228,19
93,1149,525,177,33
94,1054,540,82,48
95,985,545,13,53
96,875,539,-97,47
97,810,529,-162,37
98,727,509,-245,17
99,687,496,-285,4
100,657,484,-315,-8
101,659,485,-313,-7
102,693,497,-279,5
103,735,511,-237,19
104,821,532,-151,40
105,888,541,-84,49
106,997,545,25,53
107,1066,540,94,48
108,1156,524,184,32
109,1204,512,232,20
110,1252,496,280,4
111,1267,490,295,-2
112,1264,492,292,0
113,1244,499,272,7
114,1191,517,219,25
115,1141,529,169,37
116,1049,543,77,51
117,983,547,11,55
118,876,541,-96,49
119,813,532,-159,40
120,733,513,-239,21
121,696,501,-276,9
122,667,491,-305,-1
123,669,492,-303,0
124,705,505,-267,13
125,746,518,-226,26
126,830,537,-142,45
127,895,545,-77,53
128,1001,549,29,57
129,1066,543,94,51
130,1153,529,181,37
131,1198,517,226,25
132,1245,503,273,11
133,1259,498,287,6
134,1256,500,284,8
135,1237,507,265,15
136,1184,523,212,31
137,1135,535,163,43
138,1045,547,73,55
139,980,550,8,58
140,877,544,-95,52
141,817,535,-155,43
142,741,516,-231,24
143,705,505,-267,13
144,680,496,-292,4
145,684,498,-288,6
146,720,510,-252,18
147,761,523,-211,31
148,842,540,-130,48
149,906,547,-66,55
150,1006,549,34,57
151,1070,544,98,52
152,1153,530,181,38
153,1197,519,225,27
154,1241,506,269,14
155,1254,501,282,9
156,1249,504,277,12
157,1229,510,257,18
158,1177,526,205,34
159,1128,536,156,44
160,1040,547,68,55
161,977,549,5,57
162,877,542,-95,50
163,819,533,-153,41
164,747,515,-225,23
165,714,506,-258,14
166,693,499,-279,7
167,698,501,-274,9
168,734,513,-238,21
169,775,524,-197,32
170,853,540,-119,48
171,915,546,-57,54
172,1011,547,39,55
173,1072,542,100,50
174,1152,529,180,37
175,1193,519,221,27
176,1234,507,262,15
177,1247,503,275,11
178,1240,506,268,14
179,1220,513,248,21
180,1167,527,195,35
181,1119,537,147,45
182,1032,546,60,54
183,971,547,-1,55
184,874,540,-98,48
185,819,531,-153,39
186,752,516,-220,24
187,722,507,-250,15
188,704,502,-268,10
189,711,505,-261,13
190,748,517,-224,25
191,788,527,-184,35
192,864,541,-108,49
193,924,547,-48,55
194,1017,546,45,54
195,1075,541,103,49
196,1150,529,178,37
197,1190,520,218,28
198,1228,510,256,18
199,1238,507,266,15
200,1230,510,258,18
201,1209,517,237,25
202,1156,530,184,38
203,1108,539,136,47
204,1024,547,52,55
205,965,548,-7,56
206,872,540,-100,48
207,820,533,-152,41
208,757,519,-215,27
209,730,511,-242,19
210,716,508,-256,16
211,724,511,-248,19
212,761,522,-211,30
213,801,532,-171,40
214,876,544,-96,52
215,934,548,-38,56
216,1022,547,50,55
217,1076,542,104,50
218,1148,531,176,39
219,1185,522,213,30
220,1220,513,248,21
221,1229,511,257,19
222,1219,515,247,23
223,1197,522,225,30
224,1144,534,172,42
225,1097,542,125,50
226,1014,548,42,56
227,958,549,-14,57
228,869,542,-103,50
229,820,535,-152,43
230,762,522,-210,30
231,737,516,-235,24
232,726,513,-246,21
233,736,517,-236,25
234,774,527,-198,35
235,813,535,-159,43
