frame,x,y,dx_from_ref,dy_from_ref
1,1128,881,234,344
2,1093,893,199,356
3,1056,904,162,367
4,1021,910,127,373
5,986,913,92,376
6,953,912,59,375
7,923,906,29,369
8,894,898,0,361
9,869,887,-25,350
10,846,874,-48,337
11,826,858,-68,321
12,809,839,-85,302
13,796,818,-98,281
14,786,796,-108,259
15,779,772,-115,235
16,776,748,-118,211
17,777,724,-117,187
18,780,701,-114,164
19,786,681,-108,144
20,794,665,-100,128
21,805,651,-89,114
22,818,642,-76,105
23,833,636,-61,99
24,851,633,-43,96
25,869,635,-25,98
26,889,640,-5,103
27,911,651,17,114
28,933,666,39,129
29,957,686,63,149
30,982,710,88,173
31,1008,739,114,202
32,1034,770,140,233
33,1061,802,167,265
34,1088,834,194,297
35,1116,865,222,328
36,1143,894,249,357
37,1169,919,275,382
38,1192,941,298,404
39,1214,959,320,422
40,1235,973,341,436
41,1255,982,361,445
42,1273,984,379,447
43,1289,980,395,443
44,1301,970,407,433
45,1311,955,417,418
46,1318,935,424,398
47,1322,911,428,374
48,1324,884,430,347
49,1323,855,429,318
50,1319,824,425,287
51,1312,792,418,255
52,1302,759,408,222
53,1291,729,397,192
54,1278,700,384,163
55,1263,675,369,138
56,1248,654,354,117
57,1231,638,337,101
58,1214,627,320,90
59,1197,622,303,85
60,1179,623,285,86
61,1162,629,268,92
62,1144,642,250,105
63,1125,659,231,122
64,1106,681,212,144
65,1088,705,194,168
66,1069,733,175,196
67,1051,763,157,226
68,1034,795,140,258
69,1017,827,123,290
70,1001,859,107,322
71,987,889,93,352
72,975,916,81,379
73,964,939,70,402
74,956,957,62,420
75,951,970,57,433
76,948,977,54,440
77,948,979,54,442
78,950,976,56,439
79,955,967,61,430
80,962,953,68,416
81,971,934,77,397
82,982,909,88,372
83,996,881,102,344
84,1011,851,117,314
85,1027,819,133,282
86,1045,787,151,250
87,1063,754,169,217
88,1081,725,187,188
89,1100,696,206,159
90,1119,672,225,135
91,1139,652,245,115
92,1157,637,263,100
93,1174,628,280,91
94,1192,625,298,88
95,1208,628,314,91
96,1224,638,330,101
97,1240,653,346,116
98,1256,674,362,137
99,1269,699,375,162
100,1283,728,389,191
101,1294,760,400,223
102,1305,795,411,258
103,1315,829,421,292
104,1321,861,427,324
105,1323,892,429,355
106,1321,919,427,382
107,1317,941,423,404
108,1309,961,415,424
109,1299,975,405,438
110,1287,983,393,446
111,1273,984,379,447
112,1257,980,363,443
113,1238,970,344,433
114,1218,956,324,419
115,1197,936,303,399
116,1176,913,282,376
117,1153,887,259,350
118,1130,859,236,322
119,1107,829,213,292
120,1084,799,190,262
121,1062,768,168,231
122,1040,740,146,203
123,1019,714,125,177
124,998,691,104,154
125,979,671,85,134
126,960,655,66,118
127,942,644,48,107
128,925,637,31,100
129,910,635,16,98
130,895,636,1,99
131,882,642,-12,105
132,870,652,-24,115
133,860,665,-34,128
134,851,682,-43,145
135,845,700,-49,163
136,841,720,-53,183
137,840,742,-54,205
138,841,764,-53,227
139,845,788,-49,251
140,851,811,-43,274
141,861,834,-33,297
142,873,855,-21,318
143,888,873,-6,336
144,906,888,12,351
145,928,901,34,364
146,951,910,57,373
147,977,916,83,379
148,1007,919,113,382
149,1037,918,143,381
150,1071,913,177,376
151,1105,905,211,368
152,1140,893,246,356
153,1174,879,280,342
154,1210,863,316,326
155,1243,845,349,308
156,1277,825,383,288
157,1308,805,414,268
158,1337,785,443,248
159,1366,765,472,228
160,1392,746,498,209
161,1414,728,520,191
162,1435,713,541,176
163,1453,700,559,163
164,1467,690,573,153
165,1479,683,585,146
166,1486,680,592,143
167,1491,679,597,142
168,1491,682,597,145
169,1488,687,594,150
170,1481,696,587,159
171,1472,707,578,170
172,1459,721,565,184
173,1443,738,549,201
174,1424,754,530,217
175,1402,772,508,235
176,1376,791,482,254
177,1348,810,454,273
178,1318,828,424,291
179,1286,845,392,308
180,1254,860,360,323
181,1221,874,327,337
182,1189,884,295,347
183,1156,892,262,355
184,1122,897,228,360
185,1088,900,194,363
