frame,x,y,dx_from_ref,dy_from_ref
1,1295,418,321,-74
2,1284,423,310,-69
3,1273,427,299,-65
4,1260,433,286,-59
5,1245,438,271,-54
6,1228,444,254,-48
7,1207,451,233,-41
8,1185,458,211,-34
9,1163,464,189,-28
10,1141,469,167,-23
11,1119,474,145,-18
12,1097,478,123,-14
13,1074,482,100,-10
14,1053,484,79,-8
15,1032,486,58,-6
16,1013,487,39,-5
17,996,487,22,-5
18,978,487,4,-5
19,963,486,-11,-6
20,947,486,-27,-6
21,933,485,-41,-7
22,922,486,-52,-6
23,909,485,-65,-7
24,897,483,-77,-9
25,886,482,-88,-10
26,876,480,-98,-12
27,868,479,-106,-13
28,861,478,-113,-14
29,856,477,-118,-15
30,851,476,-123,-16
31,848,476,-126,-16
32,846,475,-128,-17
33,845,475,-129,-17
34,847,477,-127,-15
35,847,480,-127,-12
36,850,481,-124,-11
37,853,478,-121,-14
38,857,479,-117,-13
39,862,478,-112,-14
40,866,479,-108,-13
41,873,480,-101,-12
42,881,482,-93,-10
43,890,483,-84,-9
44,900,485,-74,-7
45,909,486,-65,-6
46,920,487,-54,-5
47,930,489,-44,-3
48,940,491,-34,-1
49,948,493,-26,1
50,959,493,-15,1
51,968,493,-6,1
52,978,493,4,1
53,986,492,12,0
54,994,492,20,0
55,1001,491,27,-1
56,1008,490,34,-2
57,1016,490,42,-2
58,1023,490,49,-2
59,1029,489,55,-3
60,1034,489,60,-3
61,1038,488,64,-4
62,1041,488,67,-4
63,1044,488,70,-4
64,1047,488,73,-4
65,1049,488,75,-4
66,1051,489,77,-3
67,1050,491,76,-1
68,1049,492,75,0
69,1048,491,74,-1
70,1047,491,73,-1
71,1046,491,72,-1
72,1042,491,68,-1
73,1039,490,65,-2
74,1035,490,61,-2
75,1031,490,57,-2
76,1027,490,53,-2
77,1024,490,50,-2
78,1019,490,45,-2
79,1014,490,40,-2
80,1009,490,35,-2
81,1004,490,30,-2
82,998,490,24,-2
83,993,491,19,-1
84,988,491,14,-1
85,982,490,8,-2
86,977,490,3,-2
87,971,490,-3,-2
88,965,490,-9,-2
89,960,490,-14,-2
90,955,490,-19,-2
91,951,491,-23,-1
92,947,490,-27,-2
93,942,491,-32,-1
94,939,491,-35,-1
95,936,491,-38,-1
96,933,491,-41,-1
97,931,491,-43,-1
98,930,492,-44,0
99,929,492,-45,0
100,928,492,-46,0
101,928,492,-46,0
102,928,493,-46,1
103,929,493,-45,1
104,931,494,-43,2
105,933,494,-41,2
106,935,494,-39,2
107,937,495,-37,3
108,941,495,-33,3
109,944,495,-30,3
110,948,495,-26,3
111,952,495,-22,3
112,956,495,-18,3
113,961,495,-13,3
114,965,495,-9,3
115,970,495,-4,3
116,974,495,0,3
117,979,495,5,3
118,983,495,9,3
119,987,495,13,3
120,991,494,17,2
121,995,494,21,2
122,999,494,25,2
123,1002,494,28,2
124,1005,494,31,2
125,1008,494,34,2
126,1010,494,36,2
127,1012,493,38,1
128,1014,493,40,1
129,1015,493,41,1
130,1016,493,42,1
131,1016,493,42,1
132,1016,493,42,1
133,1015,493,41,1
134,1015,493,41,1
135,1013,493,39,1
136,1012,493,38,1
137,1010,493,36,1
138,1008,493,34,1
139,1006,493,32,1
140,1003,493,29,1
141,1000,493,26,1
142,997,493,23,1
143,994,493,20,1
144,990,493,16,1
145,987,493,13,1
146,984,493,10,1
147,980,492,6,0
148,977,492,3,0
149,974,492,0,0
150,971,493,-3,1
151,968,493,-6,1
152,965,494,-9,2
153,962,495,-12,3
154,959,495,-15,3
155,957,495,-17,3
156,955,495,-19,3
157,953,495,-21,3
158,951,496,-23,4
159,950,496,-24,4
160,949,496,-25,4
161,948,497,-26,5
162,948,497,-26,5
163,948,497,-26,5
164,948,497,-26,5
165,949,496,-25,4
166,950,496,-24,4
167,951,496,-23,4
168,953,496,-21,4
169,955,496,-19,4
170,957,496,-17,4
171,959,496,-15,4
172,962,496,-12,4
173,965,496,-9,4
174,967,496,-7,4
175,970,495,-4,3
176,973,496,-1,4
177,976,496,2,4
178,979,496,5,4
179,982,495,8,3
180,985,495,11,3
181,988,495,14,3
182,990,496,16,4
183,993,496,19,4
184,995,496,21,4
185,998,495,24,3
186,1000,495,26,3
187,1002,495,28,3
188,1003,496,29,4
189,1005,496,31,4
190,1006,495,32,3
191,1007,495,33,3
192,1007,495,33,3
193,1007,495,33,3
194,1008,495,34,3
195,1007,495,33,3
196,1007,496,33,4
197,1006,495,32,3
198,1005,495,31,3
199,1004,496,30,4
200,1002,495,28,3
201,1001,495,27,3
202,999,495,25,3
203,996,495,22,3
204,994,495,20,3
205,992,495,18,3
206,989,495,15,3
207,987,495,13,3
208,984,495,10,3
209,981,494,7,2
210,978,494,4,2
211,976,494,2,2
212,973,494,-1,2
213,971,494,-3,2
214,968,494,-6,2
215,965,494,-9,2
216,963,494,-11,2
217,961,494,-13,2
218,959,493,-15,1
219,958,493,-16,1
220,956,493,-18,1
221,955,493,-19,1
222,954,493,-20,1
223,953,493,-21,1
224,953,492,-21,0
