BLUE,Vin V ,Vout V,A (microAmps),RED,Vin V ,Vout V,A (microAmps),YELLOW,Vin V ,Vout V,A (microAmps),GREEN,Vin V ,Vout V,A (microAmps),WHITE,Vin V ,Vout V,A (microAmps),,,,,,,,
,0,0.002,0,,0,0.003,0,,0,0.03,0,,0,0.004,0,,0,0.003,0,,,,,,,,
,0.5,0.499,0,,0.5,0.499,0,,0.5,0.499,0,,0.5,0.499,0,,0.5,0.499,0.1,,,,,,,,
,1,0.996,0.1,,1,0.997,0.1,,1,0.997,0.1,,1,0.997,0.1,,1,0.996,0.3,,,,,,,,
,1.5,1.492,0.1,,1.4,1.393,0.3,,1.4,1.394,0.2,,1.3,1.295,0.1,,1.5,1.489,1.1,,,,,,,,
,2,1.997,0.2,,1.42,1.414,0.5,,1.5,1.49,0.7,,1.4,1.395,0.1,,2,1.982,4.1,,,,,,,,
,2.1,2.095,0.3,,1.45,1.442,0.8,,1.6,1.581,3.8,,1.5,1.492,0.4,,2.5,2.44,13.8,,,,,,,,
,2.2,2.193,0.5,,1.47,1.461,1.2,,1.62,1.596,5,,1.6,1.59,1.8,,2.6,2.534,15.3,,,,,,,,
,2.3,2.288,1.5,,1.5,1.484,2.3,,1.65,1.615,7.5,,1.62,1.606,2.4,,2.62,2.552,15.8,,,,,,,,
,2.4,2.371,6.3,,1.6,1.549,12,,1.67,1.626,9.5,,1.65,1.63,4,,2.65,2.578,17,,,,,,,,
,2.42,2.384,8.1,,1.7,1.58,29.2,,1.7,1.642,13.4,,1.67,1.643,5.3,,2.67,2.596,18.1,,,,,,,,
,2.45,2.4,11.4,,1.8,1.598,49.4,,1.8,1.678,29.4,,1.7,1.663,8.4,,2.7,2.616,19.6,,,,,,,,
,2.47,2.409,13.9,,1.9,1.612,71.8,,1.9,1.7,49.5,,1.8,1.704,22.8,,2.8,2.687,27.2,,,,,,,,
,2.5,2.422,18.3,,2,1.619,95.6,,2,1.715,71.6,,1.9,1.729,42.1,,2.9,2.736,39.7,,,,,,,,
,2.5,2.421,18.3,,2.1,1.63,117.8,,2,1.716,71.4,,2,1.742,64.7,,3,2.767,57,,,,,,,,
,2.6,2.451,36,,2.2,1.637,141,,2.1,1.727,93.5,,2.1,1.759,85.4,,3.1,2.791,76,,,,,,,,
,2.7,2.47,56.4,,2.3,1.643,164.5,,2.2,1.736,116.2,,2.2,1.768,108,,3.2,2.807,97.5,,,,,,,,
,2.8,2.483,78.3,,2.4,1.648,189,,2.3,1.743,139.3,,2.3,1.776,131,,3.3,2.821,119,,,,,,,,
,2.9,2.494,100.6,,2.5,1.653,212.5,,2.4,1.749,163.6,,2.4,1.783,155.2,,3.4,2.831,141.6,,,,,,,,
,3,2.503,123.4,,2.6,1.657,236.3,,2.5,1.755,186.9,,2.5,1.787,178.7,,3.5,2.841,164.2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.416203336,,,,,,,1.540716612,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1.694276094,,,,,1.714414414,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.019417476
,,,,,,,,Blue,2.416203336,450,495,472.5,,1.540716612,680,0.001470588,,,,,,,,,,,
,,,,,,,,Red,1.540716612,610,750,680,,1.694276094,582.5,0.001716738,,,,,,,,,,,
,,,,,,,,Yellow,1.694276094,570,595,582.5,,1.714414414,532.5,0.001877934,,,,,,,,,,,
,,,,,,,,Green,1.714414414,495,570,532.5,,2.416203336,472.5,0.002116402,,,,,,,,,,,
,,,,,,,,White,2.019417476,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1279,V nm,,,,,,,,
,,,,,,,,,,,,,,,,,,0.000001279,V m,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,0,e,,,,,,
,,,,,,,,,,,,,,,,,,,,299792458,c,,,,,,
