frame,x,y,dx_from_ref,dy_from_ref
1,270,250,-1072,-181
2,206,484,-1136,53
3,155,585,-1187,154
4,139,633,-1203,202
5,194,564,-1148,133
6,135,720,-1207,289
7,130,796,-1212,365
8,133,820,-1209,389
9,137,836,-1205,405
10,142,843,-1200,412
11,147,846,-1195,415
12,146,850,-1196,419
13,150,850,-1192,419
14,143,849,-1199,418
15,142,849,-1200,418
16,142,848,-1200,417
17,142,848,-1200,417
18,142,848,-1200,417
19,142,848,-1200,417
20,142,848,-1200,417
21,142,848,-1200,417
22,142,848,-1200,417
23,142,848,-1200,417
24,142,848,-1200,417
25,142,848,-1200,417
26,141,847,-1201,416
27,141,847,-1201,416
28,140,847,-1202,416
29,140,847,-1202,416
30,140,847,-1202,416
31,140,847,-1202,416
32,140,847,-1202,416
33,140,847,-1202,416
34,139,847,-1203,416
35,139,847,-1203,416
36,139,847,-1203,416
37,138,847,-1204,416
38,138,847,-1204,416
39,137,847,-1205,416
40,137,846,-1205,415
41,137,847,-1205,416
42,137,847,-1205,416
43,137,846,-1205,415
44,137,846,-1205,415
45,136,846,-1206,415
46,136,846,-1206,415
47,135,846,-1207,415
48,135,846,-1207,415
49,135,846,-1207,415
50,134,846,-1208,415
51,134,846,-1208,415
52,134,846,-1208,415
53,134,846,-1208,415
54,134,846,-1208,415
55,133,846,-1209,415
56,133,846,-1209,415
57,132,846,-1210,415
58,131,846,-1211,415
59,131,846,-1211,415
60,131,846,-1211,415
61,130,846,-1212,415
62,130,846,-1212,415
63,130,846,-1212,415
64,130,846,-1212,415
65,130,846,-1212,415
66,129,846,-1213,415
67,129,846,-1213,415
68,128,846,-1214,415
69,128,846,-1214,415
70,128,846,-1214,415
71,128,846,-1214,415
72,128,846,-1214,415
73,128,846,-1214,415
74,128,846,-1214,415
75,127,846,-1215,415
76,127,846,-1215,415
77,127,846,-1215,415
78,127,846,-1215,415
79,127,846,-1215,415
80,127,846,-1215,415
81,127,847,-1215,416
82,127,847,-1215,416
83,127,846,-1215,415
84,127,846,-1215,415
85,127,846,-1215,415
86,127,846,-1215,415
87,127,847,-1215,416
88,127,847,-1215,416
89,127,846,-1215,415
90,127,847,-1215,416
91,127,846,-1215,415
92,128,847,-1214,416
93,128,846,-1214,415
94,128,847,-1214,416
95,128,846,-1214,415
96,128,846,-1214,415
97,128,846,-1214,415
98,128,846,-1214,415
99,128,846,-1214,415
100,128,846,-1214,415
101,128,847,-1214,416
102,128,846,-1214,415
103,128,846,-1214,415
104,128,846,-1214,415
105,128,846,-1214,415
106,128,846,-1214,415
107,128,847,-1214,416
108,128,847,-1214,416
109,128,847,-1214,416
110,128,847,-1214,416
111,129,847,-1213,416
112,129,847,-1213,416
113,129,847,-1213,416
114,129,847,-1213,416
115,129,846,-1213,415
116,129,847,-1213,416
117,129,847,-1213,416
118,129,847,-1213,416
119,129,846,-1213,415
120,129,847,-1213,416
121,129,847,-1213,416
122,129,847,-1213,416
123,129,847,-1213,416
124,129,847,-1213,416
125,129,847,-1213,416
126,129,847,-1213,416
127,129,847,-1213,416
128,129,846,-1213,415
129,129,846,-1213,415
130,129,847,-1213,416
131,129,847,-1213,416
132,129,846,-1213,415
133,129,846,-1213,415
134,129,847,-1213,416
135,129,846,-1213,415
136,129,846,-1213,415
137,129,847,-1213,416
138,129,847,-1213,416
139,129,846,-1213,415
140,129,847,-1213,416
141,129,846,-1213,415
142,129,846,-1213,415
143,129,846,-1213,415
144,129,846,-1213,415
145,129,846,-1213,415
146,128,846,-1214,415
147,129,847,-1213,416
148,129,847,-1213,416
149,128,846,-1214,415
150,128,846,-1214,415
151,128,846,-1214,415
152,128,846,-1214,415
153,128,846,-1214,415
154,128,846,-1214,415
155,128,847,-1214,416
156,128,846,-1214,415
157,128,847,-1214,416
158,128,847,-1214,416
159,128,847,-1214,416
160,128,847,-1214,416
161,127,846,-1215,415
162,127,846,-1215,415
163,127,846,-1215,415
164,127,846,-1215,415
165,128,846,-1214,415
166,128,846,-1214,415
167,127,846,-1215,415
168,127,846,-1215,415
169,127,846,-1215,415
170,127,846,-1215,415
171,127,846,-1215,415
172,127,846,-1215,415
173,127,846,-1215,415
174,127,846,-1215,415
175,127,846,-1215,415
176,127,846,-1215,415
177,127,846,-1215,415
178,127,846,-1215,415
179,127,846,-1215,415
180,127,846,-1215,415
181,127,846,-1215,415
182,126,846,-1216,415
183,126,846,-1216,415
184,126,846,-1216,415
185,126,846,-1216,415
186,126,846,-1216,415
187,126,846,-1216,415
188,126,847,-1216,416
189,126,847,-1216,416
190,125,847,-1217,416
191,125,846,-1217,415
192,125,846,-1217,415
193,125,847,-1217,416
194,125,847,-1217,416
195,125,847,-1217,416
196,125,847,-1217,416
197,125,847,-1217,416
198,124,847,-1218,416
199,124,847,-1218,416
200,124,847,-1218,416
201,124,847,-1218,416
202,124,847,-1218,416
203,124,847,-1218,416
204,124,847,-1218,416
205,124,847,-1218,416
206,124,847,-1218,416
207,124,847,-1218,416
208,124,847,-1218,416
209,124,847,-1218,416
210,124,847,-1218,416
211,124,847,-1218,416
212,124,847,-1218,416
213,124,847,-1218,416
214,124,847,-1218,416
215,124,847,-1218,416
216,124,847,-1218,416
217,124,847,-1218,416
218,124,847,-1218,416
219,124,847,-1218,416
220,124,847,-1218,416
221,124,847,-1218,416
222,124,847,-1218,416
223,124,847,-1218,416
224,124,846,-1218,415
225,124,847,-1218,416
226,124,846,-1218,415
227,124,846,-1218,415
228,124,846,-1218,415
229,124,845,-1218,414
230,124,845,-1218,414
231,124,845,-1218,414
232,124,846,-1218,415
233,125,847,-1217,416
234,126,848,-1216,417
235,127,848,-1215,417
236,129,849,-1213,418
237,131,850,-1211,419
238,133,851,-1209,420
239,134,851,-1208,420
240,136,851,-1206,420
241,138,851,-1204,420
242,140,851,-1202,420
243,143,851,-1199,420
244,145,850,-1197,419
245,147,850,-1195,419
246,150,850,-1192,419
247,152,850,-1190,419
248,154,850,-1188,419
249,157,850,-1185,419
250,159,850,-1183,419
251,162,850,-1180,419
252,164,850,-1178,419
