frame,x,y,dx_from_ref,dy_from_ref
1,204,342,-1180,-90
2,201,343,-1183,-89
3,205,344,-1179,-88
4,207,346,-1177,-86
5,201,350,-1183,-82
6,201,357,-1183,-75
7,201,365,-1183,-67
8,197,379,-1187,-53
9,199,387,-1185,-45
10,186,596,-1198,164
11,189,597,-1195,165
12,191,599,-1193,167
13,201,421,-1183,-11
14,207,424,-1177,-8
15,195,597,-1189,165
16,193,599,-1191,167
17,197,594,-1187,162
18,207,611,-1177,179
19,197,589,-1187,157
20,198,584,-1186,152
21,199,578,-1185,146
22,199,570,-1185,138
23,197,569,-1187,137
24,222,399,-1162,-33
25,215,387,-1169,-45
26,215,379,-1169,-53
27,217,374,-1167,-58
28,215,367,-1169,-65
29,217,356,-1167,-76
30,211,344,-1173,-88
31,217,342,-1167,-90
32,181,308,-1203,-124
33,218,324,-1166,-108
34,220,314,-1164,-118
35,215,300,-1169,-132
36,217,290,-1167,-142
37,219,282,-1165,-150
38,222,277,-1162,-155
39,226,273,-1158,-159
40,230,269,-1154,-163
41,232,264,-1152,-168
42,236,261,-1148,-171
43,261,249,-1123,-183
44,265,244,-1119,-188
45,268,240,-1116,-192
46,279,237,-1105,-195
47,283,235,-1101,-197
48,286,234,-1098,-198
49,291,235,-1093,-197
50,295,233,-1089,-199
51,298,232,-1086,-200
52,300,232,-1084,-200
53,307,233,-1077,-199
54,307,230,-1077,-202
55,309,228,-1075,-204
56,310,227,-1074,-205
57,318,229,-1066,-203
58,317,225,-1067,-207
59,318,223,-1066,-209
60,326,227,-1058,-205
61,329,226,-1055,-206
62,330,222,-1054,-210
63,333,222,-1051,-210
64,333,221,-1051,-211
65,334,219,-1050,-213
66,338,220,-1046,-212
67,340,218,-1044,-214
68,342,218,-1042,-214
69,345,218,-1039,-214
70,346,217,-1038,-215
71,342,214,-1042,-218
72,344,214,-1040,-218
73,346,215,-1038,-217
74,347,214,-1037,-218
75,349,215,-1035,-217
76,350,215,-1034,-217
77,348,214,-1036,-218
78,348,213,-1036,-219
79,349,214,-1035,-218
80,350,214,-1034,-218
81,351,216,-1033,-216
82,352,215,-1032,-217
83,352,214,-1032,-218
84,354,214,-1030,-218
85,355,215,-1029,-217
86,355,213,-1029,-219
87,357,213,-1027,-219
88,362,214,-1022,-218
89,362,212,-1022,-220
90,365,212,-1019,-220
91,371,215,-1013,-217
92,373,214,-1011,-218
93,376,211,-1008,-221
94,381,210,-1003,-222
95,387,209,-997,-223
96,388,202,-996,-230
97,396,207,-988,-225
98,401,207,-983,-225
99,407,201,-977,-231
100,411,202,-973,-230
101,413,204,-971,-228
102,408,205,-976,-227
103,393,208,-991,-224
104,374,206,-1010,-226
105,354,214,-1030,-218
106,327,212,-1057,-220
107,304,220,-1080,-212
108,273,219,-1111,-213
109,252,234,-1132,-198
