frame,x,y,dx_from_ref,dy_from_ref
1,207,735,-1187,272
2,202,727,-1192,264
3,206,751,-1188,288
4,204,759,-1190,296
5,215,795,-1179,332
6,203,775,-1191,312
7,206,788,-1188,325
8,203,781,-1191,318
9,207,790,-1187,327
10,208,795,-1186,332
11,207,798,-1187,335
12,212,806,-1182,343
13,215,810,-1179,347
14,217,814,-1177,351
15,219,816,-1175,353
16,219,819,-1175,356
17,222,820,-1172,357
18,224,821,-1170,358
19,224,821,-1170,358
20,225,821,-1169,358
21,227,821,-1167,358
22,226,821,-1168,358
23,227,821,-1167,358
24,227,821,-1167,358
25,226,821,-1168,358
26,226,821,-1168,358
27,225,821,-1169,358
28,226,821,-1168,358
29,223,823,-1171,360
30,227,821,-1167,358
31,226,821,-1168,358
32,226,821,-1168,358
33,226,821,-1168,358
34,226,821,-1168,358
35,226,821,-1168,358
36,225,821,-1169,358
37,227,821,-1167,358
38,227,821,-1167,358
39,227,820,-1167,357
40,227,820,-1167,357
41,229,820,-1165,357
42,228,821,-1166,358
43,227,820,-1167,357
44,227,820,-1167,357
45,226,821,-1168,358
46,228,822,-1166,359
47,230,822,-1164,359
48,228,821,-1166,358
49,224,821,-1170,358
50,229,823,-1165,360
51,222,816,-1172,353
52,224,814,-1170,351
53,218,800,-1176,337
54,219,796,-1175,333
55,215,781,-1179,318
56,213,768,-1181,305
57,210,750,-1184,287
58,209,748,-1185,285
59,206,732,-1188,269
60,205,717,-1189,254
61,207,706,-1187,243
62,204,682,-1190,219
63,201,661,-1193,198
64,202,645,-1192,182
65,207,645,-1187,182
66,208,630,-1186,167
67,210,623,-1184,160
68,211,612,-1183,149
69,211,603,-1183,140
70,212,594,-1182,131
71,215,597,-1179,134
72,215,592,-1179,129
73,217,587,-1177,124
74,218,584,-1176,121
75,220,585,-1174,122
76,221,582,-1173,119
77,222,579,-1172,116
78,223,577,-1171,114
79,225,579,-1169,116
80,226,575,-1168,112
81,228,577,-1166,114
82,228,573,-1166,110
83,230,579,-1164,116
84,232,573,-1162,110
85,233,574,-1161,111
86,234,574,-1160,111
