frame,x,y,dx_from_ref,dy_from_ref
1,692,250,-2,2
2,693,250,-1,2
3,693,250,-1,2
4,693,250,-1,2
5,693,250,-1,2
6,693,250,-1,2
7,693,250,-1,2
8,693,250,-1,2
9,692,250,-2,2
10,692,250,-2,2
11,692,250,-2,2
12,693,250,-1,2
13,693,250,-1,2
14,693,250,-1,2
15,693,250,-1,2
16,693,250,-1,2
17,693,250,-1,2
18,693,250,-1,2
19,692,250,-2,2
20,692,250,-2,2
21,693,250,-1,2
22,693,250,-1,2
23,693,250,-1,2
24,693,250,-1,2
25,693,250,-1,2
26,693,250,-1,2
27,693,250,-1,2
28,692,250,-2,2
29,692,250,-2,2
30,692,250,-2,2
31,693,250,-1,2
32,693,250,-1,2
33,693,250,-1,2
34,693,250,-1,2
35,693,250,-1,2
36,693,250,-1,2
37,693,250,-1,2
38,692,250,-2,2
39,692,250,-2,2
40,692,250,-2,2
41,693,250,-1,2
42,693,250,-1,2
43,693,250,-1,2
44,693,250,-1,2
45,693,250,-1,2
46,693,250,-1,2
47,692,250,-2,2
48,692,250,-2,2
49,692,250,-2,2
50,692,250,-2,2
51,693,250,-1,2
52,693,250,-1,2
53,693,250,-1,2
54,693,250,-1,2
55,693,250,-1,2
56,692,250,-2,2
57,692,250,-2,2
58,692,250,-2,2
59,692,250,-2,2
60,693,250,-1,2
61,693,250,-1,2
62,693,250,-1,2
63,693,250,-1,2
64,693,250,-1,2
65,693,250,-1,2
66,693,250,-1,2
67,692,250,-2,2
68,692,250,-2,2
69,692,250,-2,2
70,693,250,-1,2
71,693,250,-1,2
72,693,250,-1,2
73,693,250,-1,2
74,693,250,-1,2
75,693,250,-1,2
76,692,250,-2,2
77,692,250,-2,2
78,692,249,-2,1
79,692,250,-2,2
80,693,250,-1,2
81,693,250,-1,2
82,693,250,-1,2
83,693,250,-1,2
84,693,250,-1,2
85,693,250,-1,2
86,692,250,-2,2
87,692,250,-2,2
88,692,250,-2,2
89,693,250,-1,2
90,693,250,-1,2
91,693,250,-1,2
92,693,250,-1,2
93,693,250,-1,2
94,693,250,-1,2
95,693,250,-1,2
96,692,250,-2,2
97,692,250,-2,2
98,692,250,-2,2
99,693,250,-1,2
100,693,250,-1,2
101,693,250,-1,2
102,693,250,-1,2
103,693,250,-1,2
104,693,250,-1,2
105,692,250,-2,2
106,692,250,-2,2
107,692,250,-2,2
108,692,250,-2,2
109,693,250,-1,2
110,693,250,-1,2
111,693,250,-1,2
112,693,250,-1,2
113,693,250,-1,2
114,693,250,-1,2
115,692,249,-2,1
116,692,249,-2,1
117,692,249,-2,1
118,692,250,-2,2
119,693,250,-1,2
120,693,250,-1,2
121,693,250,-1,2
122,693,250,-1,2
123,693,250,-1,2
124,693,250,-1,2
125,692,250,-2,2
126,692,250,-2,2
127,692,250,-2,2
128,693,250,-1,2
129,693,250,-1,2
130,693,250,-1,2
131,693,250,-1,2
132,693,250,-1,2
133,693,250,-1,2
134,693,250,-1,2
135,692,250,-2,2
136,692,250,-2,2
137,692,250,-2,2
138,693,250,-1,2
139,693,250,-1,2
140,693,250,-1,2
141,693,250,-1,2
142,693,250,-1,2
143,693,250,-1,2
