frame,x,y,dx_from_ref,dy_from_ref
1,1099,492,1,-4
2,1099,492,1,-4
3,1098,492,0,-4
4,1098,492,0,-4
5,1098,492,0,-4
6,1097,492,-1,-4
7,1097,492,-1,-4
8,1096,492,-2,-4
9,1096,492,-2,-4
10,1096,492,-2,-4
11,1095,492,-3,-4
12,1095,492,-3,-4
13,1095,492,-3,-4
14,1095,492,-3,-4
15,1095,492,-3,-4
16,1095,492,-3,-4
17,1095,492,-3,-4
18,1095,492,-3,-4
19,1095,492,-3,-4
20,1096,492,-2,-4
21,1096,492,-2,-4
22,1096,492,-2,-4
23,1096,492,-2,-4
24,1097,492,-1,-4
25,1097,492,-1,-4
26,1097,492,-1,-4
27,1097,492,-1,-4
28,1097,492,-1,-4
29,1097,492,-1,-4
30,1097,492,-1,-4
31,1097,492,-1,-4
32,1097,492,-1,-4
33,1096,492,-2,-4
34,1096,492,-2,-4
35,1095,492,-3,-4
36,1095,492,-3,-4
37,1094,492,-4,-4
38,1094,492,-4,-4
39,1094,492,-4,-4
40,1094,492,-4,-4
41,1094,492,-4,-4
42,1094,492,-4,-4
43,1094,492,-4,-4
44,1094,492,-4,-4
45,1094,492,-4,-4
46,1094,492,-4,-4
47,1095,492,-3,-4
48,1095,492,-3,-4
49,1096,492,-2,-4
50,1096,492,-2,-4
51,1096,492,-2,-4
52,1097,492,-1,-4
53,1097,492,-1,-4
54,1098,492,0,-4
55,1098,492,0,-4
56,1098,492,0,-4
57,1098,492,0,-4
58,1098,492,0,-4
59,1098,492,0,-4
60,1098,492,0,-4
61,1098,492,0,-4
62,1097,492,-1,-4
63,1097,492,-1,-4
64,1096,492,-2,-4
65,1096,492,-2,-4
66,1096,492,-2,-4
67,1096,492,-2,-4
68,1095,492,-3,-4
69,1095,492,-3,-4
70,1095,492,-3,-4
71,1095,492,-3,-4
72,1095,492,-3,-4
73,1095,492,-3,-4
74,1095,492,-3,-4
75,1095,492,-3,-4
76,1096,492,-2,-4
77,1096,492,-2,-4
78,1096,492,-2,-4
79,1097,492,-1,-4
80,1097,492,-1,-4
81,1097,492,-1,-4
82,1098,492,0,-4
83,1098,492,0,-4
84,1099,492,1,-4
85,1101,493,3,-3
86,1103,493,5,-3
87,1107,493,9,-3
88,1112,493,14,-3
89,1118,493,20,-3
90,1125,493,27,-3
91,1134,494,36,-2
92,1144,494,46,-2
93,1156,495,58,-1
94,1169,496,71,0
95,1183,496,85,0
96,1199,497,101,1
97,1216,498,118,2
98,1231,499,133,3
99,1243,500,145,4
100,1249,502,151,6
101,1248,504,150,8
102,1240,504,142,8
103,1227,504,129,8
104,1209,501,111,5
105,1185,497,87,1
106,1157,495,59,-1
107,1129,492,31,-4
108,1098,491,0,-5
109,1068,491,-30,-5
110,1041,491,-57,-5
111,1018,489,-80,-7
112,999,487,-99,-9
113,986,486,-112,-10
114,979,485,-119,-11
115,977,485,-121,-11
116,982,487,-116,-9
117,992,488,-106,-8
118,1008,490,-90,-6
119,1029,490,-69,-6
120,1054,490,-44,-6
121,1081,490,-17,-6
122,1109,492,11,-4
123,1138,494,40,-2
124,1163,496,65,0
125,1186,499,88,3
126,1204,501,106,5
127,1217,501,119,5
128,1224,501,126,5
129,1224,500,126,4
130,1219,499,121,3
131,1207,498,109,2
132,1190,498,92,2
133,1168,497,70,1
134,1141,495,43,-1
135,1113,493,15,-3
136,1082,491,-16,-5
137,1052,489,-46,-7
138,1023,488,-75,-8
139,998,488,-100,-8
140,977,488,-121,-8
141,961,489,-137,-7
142,950,488,-148,-8
143,946,488,-152,-8
144,948,488,-150,-8
145,957,487,-141,-9
146,971,487,-127,-9
147,991,488,-107,-8
148,1016,489,-82,-7
149,1043,490,-55,-6
150,1073,491,-25,-5
151,1104,493,6,-3
152,1134,494,36,-2
153,1162,495,64,-1
154,1186,498,88,2
155,1205,499,107,3
156,1220,501,122,5
157,1227,502,129,6
158,1229,502,131,6
159,1225,502,127,6
160,1214,501,116,5
161,1199,499,101,3
162,1179,497,81,1
163,1155,496,57,0
164,1129,495,31,-1
165,1102,493,4,-3
166,1076,491,-22,-5
167,1051,490,-47,-6
168,1029,489,-69,-7
169,1011,487,-87,-9
170,998,487,-100,-9
171,990,487,-108,-9
172,988,487,-110,-9
173,991,488,-107,-8
174,1000,488,-98,-8
175,1015,488,-83,-8
176,1034,489,-64,-7
177,1057,489,-41,-7
178,1082,491,-16,-5
179,1109,493,11,-3
180,1136,495,38,-1
181,1162,497,64,1
182,1185,499,87,3
183,1203,500,105,4
184,1218,500,120,4
185,1226,501,128,5
186,1229,501,131,5
187,1225,501,127,5
188,1216,501,118,5
189,1200,499,102,3
190,1180,497,82,1
191,1156,495,58,-1
192,1129,493,31,-3
