frame,x,y,dx_from_ref,dy_from_ref
1,1058,477,0,-5
2,1058,477,0,-5
3,1058,478,0,-4
4,1058,478,0,-4
5,1058,477,0,-5
6,1058,477,0,-5
7,1058,478,0,-4
8,1058,478,0,-4
9,1058,478,0,-4
10,1058,477,0,-5
11,1059,478,1,-4
12,1059,478,1,-4
13,1059,478,1,-4
14,1059,478,1,-4
15,1059,477,1,-5
16,1058,477,0,-5
17,1058,478,0,-4
18,1058,477,0,-5
19,1058,478,0,-4
20,1058,478,0,-4
21,1058,478,0,-4
22,1058,478,0,-4
23,1058,477,0,-5
24,1058,478,0,-4
25,1058,478,0,-4
26,1058,478,0,-4
27,1058,478,0,-4
28,1058,478,0,-4
29,1058,478,0,-4
30,1058,478,0,-4
31,1059,478,1,-4
32,1059,478,1,-4
33,1059,478,1,-4
34,1058,478,0,-4
35,1058,478,0,-4
36,1058,478,0,-4
37,1058,478,0,-4
38,1058,477,0,-5
39,1058,478,0,-4
40,1058,477,0,-5
41,1058,478,0,-4
42,1058,478,0,-4
43,1058,478,0,-4
44,1058,478,0,-4
45,1058,478,0,-4
46,1058,478,0,-4
47,1058,477,0,-5
48,1058,478,0,-4
49,1058,478,0,-4
50,1058,478,0,-4
51,1059,478,1,-4
52,1058,478,0,-4
53,1058,478,0,-4
54,1058,478,0,-4
55,1058,478,0,-4
56,1058,478,0,-4
57,1058,478,0,-4
58,1058,478,0,-4
59,1058,478,0,-4
60,1058,478,0,-4
61,1058,478,0,-4
62,1058,478,0,-4
63,1058,478,0,-4
64,1058,478,0,-4
65,1058,478,0,-4
66,1058,478,0,-4
67,1058,478,0,-4
68,1058,478,0,-4
69,1058,478,0,-4
70,1058,478,0,-4
71,1058,478,0,-4
72,1058,478,0,-4
73,1058,478,0,-4
74,1058,478,0,-4
75,1058,478,0,-4
76,1058,478,0,-4
77,1058,478,0,-4
78,1058,478,0,-4
79,1058,478,0,-4
80,1058,478,0,-4
81,1058,478,0,-4
82,1058,478,0,-4
83,1058,478,0,-4
84,1058,478,0,-4
85,1058,478,0,-4
86,1058,478,0,-4
87,1058,478,0,-4
88,1058,477,0,-5
89,1058,477,0,-5
90,1058,477,0,-5
91,1058,478,0,-4
92,1058,478,0,-4
93,1058,478,0,-4
94,1058,478,0,-4
95,1060,478,2,-4
96,1066,478,8,-4
97,1077,478,19,-4
98,1093,478,35,-4
99,1112,479,54,-3
100,1131,480,73,-2
101,1147,481,89,-1
102,1155,482,97,0
103,1153,482,95,0
104,1143,481,85,-1
105,1124,480,66,-2
106,1099,479,41,-3
107,1070,478,12,-4
108,1040,477,-18,-5
109,1011,475,-47,-7
110,988,474,-70,-8
111,971,474,-87,-8
112,963,474,-95,-8
113,964,473,-94,-9
114,974,474,-84,-8
115,993,474,-65,-8
116,1017,475,-41,-7
117,1046,477,-12,-5
118,1076,478,18,-4
119,1104,479,46,-3
120,1128,480,70,-2
121,1145,481,87,-1
122,1153,481,95,-1
123,1152,481,94,-1
124,1143,481,85,-1
125,1125,480,67,-2
126,1101,479,43,-3
127,1072,478,14,-4
128,1042,477,-16,-5
129,1014,475,-44,-7
130,990,474,-68,-8
131,973,474,-85,-8
132,965,473,-93,-9
133,965,473,-93,-9
134,974,474,-84,-8
135,992,474,-66,-8
136,1016,476,-42,-6
137,1044,477,-14,-5
138,1074,478,16,-4
139,1102,479,44,-3
140,1125,480,67,-2
141,1143,481,85,-1
142,1152,482,94,0
143,1152,482,94,0
144,1143,481,85,-1
145,1126,480,68,-2
146,1102,480,44,-2
147,1074,478,16,-4
148,1045,476,-13,-6
149,1017,475,-41,-7
150,993,474,-65,-8
151,976,474,-82,-8
152,966,473,-92,-9
153,966,473,-92,-9
154,974,474,-84,-8
155,992,474,-66,-8
156,1015,475,-43,-7
157,1042,476,-16,-6
158,1071,478,13,-4
159,1099,479,41,-3
160,1123,480,65,-2
161,1140,481,82,-1
162,1150,482,92,0
163,1151,482,93,0
164,1142,481,84,-1
165,1127,480,69,-2
166,1103,479,45,-3
167,1076,478,18,-4
168,1047,477,-11,-5
169,1020,476,-38,-6
170,995,474,-63,-8
171,978,474,-80,-8
172,968,474,-90,-8
173,967,473,-91,-9
174,975,474,-83,-8
175,991,474,-67,-8
176,1013,476,-45,-6
177,1041,476,-17,-6
178,1069,478,11,-4
179,1097,479,39,-3
180,1120,480,62,-2
181,1138,481,80,-1
182,1148,481,90,-1
183,1150,481,92,-1
184,1142,481,84,-1
185,1127,480,69,-2
186,1105,479,47,-3
187,1078,478,20,-4
188,1050,477,-8,-5
189,1022,476,-36,-6
190,998,475,-60,-7
191,980,474,-78,-8
192,970,474,-88,-8
193,968,474,-90,-8
194,975,474,-83,-8
195,991,474,-67,-8
196,1012,475,-46,-7
197,1039,476,-19,-6
198,1067,478,9,-4
199,1094,479,36,-3
200,1118,480,60,-2
201,1136,481,78,-1
202,1147,481,89,-1
203,1149,481,91,-1
204,1142,481,84,-1
205,1127,480,69,-2
206,1105,479,47,-3
207,1079,478,21,-4
208,1051,477,-7,-5
209,1024,476,-34,-6
210,1000,474,-58,-8
211,982,474,-76,-8
212,971,474,-87,-8
213,969,473,-89,-9
214,976,474,-82,-8
215,990,474,-68,-8
216,1011,475,-47,-7
217,1037,476,-21,-6
218,1065,478,7,-4
219,1092,479,34,-3
220,1116,480,58,-2
221,1134,481,76,-1
222,1145,481,87,-1
223,1147,482,89,0
224,1141,481,83,-1
225,1127,480,69,-2
