frame,x,y,dx_from_ref,dy_from_ref
1,1068,500,1,-4
2,1069,500,2,-4
3,1069,500,2,-4
4,1069,500,2,-4
5,1069,500,2,-4
6,1070,500,3,-4
7,1069,500,2,-4
8,1069,500,2,-4
9,1069,500,2,-4
10,1070,500,3,-4
11,1070,500,3,-4
12,1070,500,3,-4
13,1070,500,3,-4
14,1070,500,3,-4
15,1069,500,2,-4
16,1069,500,2,-4
17,1068,500,1,-4
18,1068,500,1,-4
19,1068,500,1,-4
20,1067,500,0,-4
21,1067,500,0,-4
22,1067,500,0,-4
23,1066,500,-1,-4
24,1066,500,-1,-4
25,1066,500,-1,-4
26,1066,500,-1,-4
27,1065,500,-2,-4
28,1065,500,-2,-4
29,1064,500,-3,-4
30,1064,500,-3,-4
31,1064,500,-3,-4
32,1064,500,-3,-4
33,1064,500,-3,-4
34,1065,500,-2,-4
35,1065,500,-2,-4
36,1065,500,-2,-4
37,1065,500,-2,-4
38,1065,500,-2,-4
39,1066,500,-1,-4
40,1066,500,-1,-4
41,1067,500,0,-4
42,1067,500,0,-4
43,1068,500,1,-4
44,1068,500,1,-4
45,1068,500,1,-4
46,1068,500,1,-4
47,1069,500,2,-4
48,1069,500,2,-4
49,1069,500,2,-4
50,1069,500,2,-4
51,1070,500,3,-4
52,1070,500,3,-4
53,1070,500,3,-4
54,1070,500,3,-4
55,1070,500,3,-4
56,1069,500,2,-4
57,1069,500,2,-4
58,1069,500,2,-4
59,1069,500,2,-4
60,1069,500,2,-4
61,1068,500,1,-4
62,1068,500,1,-4
63,1068,500,1,-4
64,1067,500,0,-4
65,1067,500,0,-4
66,1066,500,-1,-4
67,1066,500,-1,-4
68,1066,500,-1,-4
69,1065,500,-2,-4
70,1065,500,-2,-4
71,1065,500,-2,-4
72,1065,500,-2,-4
73,1065,500,-2,-4
74,1065,500,-2,-4
75,1065,500,-2,-4
76,1064,500,-3,-4
77,1065,500,-2,-4
78,1065,500,-2,-4
79,1065,500,-2,-4
80,1065,500,-2,-4
81,1065,500,-2,-4
82,1066,500,-1,-4
83,1066,500,-1,-4
84,1067,500,0,-4
85,1067,500,0,-4
86,1067,500,0,-4
87,1067,500,0,-4
88,1068,500,1,-4
89,1068,500,1,-4
90,1069,500,2,-4
91,1069,500,2,-4
92,1069,500,2,-4
93,1070,500,3,-4
94,1070,500,3,-4
95,1070,500,3,-4
96,1070,500,3,-4
97,1070,500,3,-4
98,1070,500,3,-4
99,1069,500,2,-4
100,1069,500,2,-4
101,1069,500,2,-4
102,1069,500,2,-4
103,1069,500,2,-4
104,1068,500,1,-4
105,1068,500,1,-4
106,1067,500,0,-4
107,1067,500,0,-4
108,1067,500,0,-4
109,1066,500,-1,-4
110,1066,500,-1,-4
111,1066,500,-1,-4
112,1067,500,0,-4
113,1072,500,5,-4
114,1081,501,14,-3
115,1091,502,24,-2
116,1101,502,34,-2
117,1112,501,45,-3
118,1124,502,57,-2
119,1134,503,67,-1
120,1142,504,75,0
121,1149,506,82,2
122,1154,508,87,4
123,1158,507,91,3
124,1160,506,93,2
125,1159,505,92,1
126,1157,504,90,0
127,1153,505,86,1
128,1147,505,80,1
129,1140,506,73,2
130,1131,505,64,1
131,1121,504,54,0
132,1109,502,42,-2
133,1097,500,30,-4
134,1084,499,17,-5
135,1071,499,4,-5
136,1057,499,-10,-5
137,1044,500,-23,-4
138,1031,499,-36,-5
139,1020,498,-47,-6
140,1009,497,-58,-7
141,1000,496,-67,-8
142,991,496,-76,-8
143,985,497,-82,-7
144,980,498,-87,-6
145,977,498,-90,-6
146,975,498,-92,-6
147,976,497,-91,-7
148,979,496,-88,-8
149,983,496,-84,-8
150,989,497,-78,-7
151,997,498,-70,-6
152,1006,498,-61,-6
153,1017,499,-50,-5
154,1028,498,-39,-6
155,1041,498,-26,-6
156,1054,498,-13,-6
157,1067,498,0,-6
158,1080,500,13,-4
159,1093,502,26,-2
160,1105,503,38,-1
161,1117,503,50,-1
162,1127,503,60,-1
163,1137,503,70,-1
164,1145,504,78,0
165,1151,505,84,1
166,1155,506,88,2
167,1157,507,90,3
168,1158,507,91,3
169,1156,507,89,3
170,1154,505,87,1
171,1149,504,82,0
172,1142,504,75,0
173,1134,503,67,-1
174,1125,503,58,-1
175,1114,503,47,-1
176,1102,502,35,-2
177,1090,501,23,-3
178,1077,499,10,-5
179,1064,498,-3,-6
180,1051,498,-16,-6
181,1038,498,-29,-6
182,1026,498,-41,-6
183,1015,499,-52,-5
184,1005,498,-62,-6
185,996,497,-71,-7
186,989,496,-78,-8
187,983,496,-84,-8
188,979,497,-88,-7
189,977,497,-90,-7
190,977,498,-90,-6
191,979,498,-88,-6
192,982,497,-85,-7
193,987,497,-80,-7
194,994,496,-73,-8
195,1003,497,-64,-7
196,1013,497,-54,-7
197,1023,498,-44,-6
198,1035,499,-32,-5
199,1048,499,-19,-5
200,1061,499,-6,-5
201,1074,499,7,-5
202,1087,499,20,-5
203,1099,501,32,-3
204,1111,502,44,-2
205,1121,503,54,-1
206,1131,504,64,0
207,1139,504,72,0
208,1146,504,79,0
209,1151,504,84,0
210,1155,505,88,1
211,1156,506,89,2
212,1156,506,89,2
213,1154,506,87,2
214,1150,506,83,2
215,1144,505,77,1
216,1137,504,70,0
217,1128,503,61,-1
218,1118,502,51,-2
219,1107,502,40,-2
220,1095,502,28,-2
221,1083,501,16,-3
222,1070,500,3,-4
223,1057,499,-10,-5
224,1044,498,-23,-6
225,1033,497,-34,-7
226,1021,497,-46,-7
227,1010,498,-57,-6
228,1001,498,-66,-6
229,993,498,-74,-6
230,987,497,-80,-7
231,982,497,-85,-7
232,980,496,-87,-8
233,979,496,-88,-8
234,979,497,-88,-7
235,982,497,-85,-7
236,986,498,-81,-6
237,992,497,-75,-7
238,1000,497,-67,-7
239,1009,497,-58,-7
240,1019,497,-48,-7
241,1031,498,-36,-6
242,1042,499,-25,-5
243,1055,500,-12,-4
244,1067,500,0,-4
245,1080,500,13,-4
246,1093,501,26,-3
247,1104,501,37,-3
248,1116,502,49,-2
249,1125,503,58,-1
250,1134,504,67,0
251,1141,505,74,1
252,1147,505,80,1
253,1152,505,85,1
254,1154,505,87,1
255,1154,505,87,1
256,1153,505,86,1
257,1150,505,83,1
258,1145,505,78,1
259,1139,505,72,1
260,1131,504,64,0
261,1122,503,55,-1
262,1112,502,45,-2
263,1100,501,33,-3
264,1088,500,21,-4
265,1076,500,9,-4
266,1063,500,-4,-4
267,1051,499,-16,-5
268,1038,498,-29,-6
269,1027,498,-40,-6
270,1016,497,-51,-7
271,1006,497,-61,-7
272,998,497,-69,-7
273,991,497,-76,-7
274,986,498,-81,-6
275,982,497,-85,-7
276,980,497,-87,-7
277,980,497,-87,-7
278,982,497,-85,-7
279,985,497,-82,-7
280,991,497,-76,-7
281,997,498,-70,-6
282,1006,498,-61,-6
283,1015,498,-52,-6
284,1026,498,-41,-6
285,1037,498,-30,-6
286,1049,498,-18,-6
287,1062,499,-5,-5
288,1074,500,7,-4
289,1087,501,20,-3
290,1099,501,32,-3
291,1110,502,43,-2
292,1120,502,53,-2
293,1129,503,62,-1
294,1137,504,70,0
295,1144,505,77,1
296,1149,505,82,1
297,1152,506,85,2
298,1153,506,86,2
299,1153,505,86,1
300,1150,505,83,1
301,1146,504,79,0
302,1141,504,74,0
303,1134,504,67,0
304,1125,504,58,0
305,1115,503,48,-1
306,1105,502,38,-2
307,1093,501,26,-3
308,1081,500,14,-4
309,1069,499,2,-5
310,1056,499,-11,-5
311,1044,499,-23,-5
312,1033,498,-34,-6
313,1022,498,-45,-6
314,1012,497,-55,-7
315,1003,497,-64,-7
316,996,497,-71,-7
317,990,497,-77,-7
318,985,497,-82,-7
319,983,497,-84,-7
320,982,497,-85,-7
321,983,497,-84,-7
322,985,497,-82,-7
323,990,497,-77,-7
324,996,497,-71,-7
325,1003,497,-64,-7
326,1012,498,-55,-6
327,1022,498,-45,-6
328,1033,498,-34,-6
329,1045,498,-22,-6
330,1057,498,-10,-6
331,1069,499,2,-5
332,1081,500,14,-4
333,1093,501,26,-3
334,1104,502,37,-2
335,1115,503,48,-1
336,1125,503,58,-1
337,1133,503,66,-1
338,1140,504,73,0
339,1145,505,78,1
340,1149,505,82,1
341,1151,505,84,1
342,1151,505,84,1
343,1150,505,83,1
344,1147,505,80,1
345,1142,504,75,0
346,1136,503,69,-1
347,1128,503,61,-1
348,1119,503,52,-1
349,1109,502,42,-2
350,1098,502,31,-2
351,1086,500,19,-4
352,1074,500,7,-4
353,1062,499,-5,-5
354,1050,498,-17,-6
355,1039,498,-28,-6
356,1027,498,-40,-6
357,1017,498,-50,-6
358,1008,498,-59,-6
359,1000,497,-67,-7
360,993,497,-74,-7
361,988,497,-79,-7
362,985,497,-82,-7
363,983,497,-84,-7
364,984,497,-83,-7
365,985,497,-82,-7
366,989,497,-78,-7
367,994,497,-73,-7
368,1001,497,-66,-7
369,1009,497,-58,-7
370,1018,498,-49,-6
371,1028,498,-39,-6
372,1040,499,-27,-5
373,1051,499,-16,-5
374,1063,499,-4,-5
375,1075,499,8,-5
376,1087,500,20,-4
377,1099,501,32,-3
378,1110,502,43,-2
379,1120,503,53,-1
380,1128,503,61,-1
381,1136,504,69,0
382,1142,504,75,0
383,1146,505,79,1
384,1149,505,82,1
385,1150,505,83,1
386,1149,505,82,1
387,1147,505,80,1
388,1143,505,76,1
389,1137,504,70,0
390,1130,503,63,-1
391,1122,502,55,-2
392,1112,502,45,-2
393,1102,501,35,-3
394,1091,501,24,-3
395,1079,500,12,-4
396,1067,499,0,-5
397,1055,499,-12,-5
398,1044,498,-23,-6
399,1033,498,-34,-6
400,1022,498,-45,-6
401,1013,497,-54,-7
402,1004,497,-63,-7
403,997,497,-70,-7
404,992,497,-75,-7
405,988,497,-79,-7
406,986,497,-81,-7
407,985,497,-82,-7
408,986,497,-81,-7
409,989,497,-78,-7
410,993,497,-74,-7
411,999,497,-68,-7
412,1006,497,-61,-7
413,1015,497,-52,-7
414,1025,497,-42,-7
415,1035,498,-32,-6
416,1047,498,-20,-6
417,1058,499,-9,-5
418,1070,500,3,-4
419,1082,500,15,-4
420,1094,501,27,-3
421,1104,501,37,-3
422,1114,502,47,-2
423,1124,503,57,-1
424,1131,504,64,0
425,1138,504,71,0
426,1143,505,76,1
427,1146,505,79,1
428,1148,505,81,1
429,1148,505,81,1
430,1147,505,80,1
431,1144,505,77,1
432,1139,504,72,0
433,1133,504,66,0
434,1125,503,58,-1
435,1116,502,49,-2
436,1106,502,39,-2
437,1095,501,28,-3
438,1084,500,17,-4
439,1072,500,5,-4
440,1060,499,-7,-5
441,1049,499,-18,-5
442,1038,498,-29,-6
443,1027,498,-40,-6
444,1017,497,-50,-7
445,1008,497,-59,-7
446,1001,498,-66,-6
447,995,497,-72,-7
448,990,497,-77,-7
449,987,497,-80,-7
450,986,497,-81,-7
451,986,497,-81,-7
452,989,497,-78,-7
453,992,497,-75,-7
454,997,497,-70,-7
455,1004,498,-63,-6
456,1012,498,-55,-6
457,1022,498,-45,-6
458,1031,498,-36,-6
459,1042,498,-25,-6
460,1054,499,-13,-5
461,1065,499,-2,-5
462,1077,500,10,-4
463,1088,501,21,-3
464,1099,501,32,-3
465,1110,502,43,-2
466,1119,502,52,-2
467,1127,503,60,-1
468,1134,504,67,0
469,1140,504,73,0
470,1144,505,77,1
471,1146,505,79,1
472,1147,505,80,1
473,1146,505,79,1
474,1144,504,77,0
475,1140,504,73,0
476,1134,504,67,0
477,1127,504,60,0
478,1119,503,52,-1
479,1109,502,42,-2
480,1099,501,32,-3
481,1088,501,21,-3
482,1077,500,10,-4
483,1065,500,-2,-4
484,1054,499,-13,-5
485,1042,499,-25,-5
486,1032,498,-35,-6
487,1022,498,-45,-6
488,1013,497,-54,-7
489,1005,497,-62,-7
490,998,497,-69,-7
491,993,497,-74,-7
492,990,497,-77,-7
493,988,497,-79,-7
494,988,497,-79,-7
495,989,497,-78,-7
496,992,497,-75,-7
497,996,497,-71,-7
498,1002,497,-65,-7
499,1010,498,-57,-6
500,1018,498,-49,-6
501,1028,498,-39,-6
502,1038,498,-29,-6
503,1049,499,-18,-5
504,1061,499,-6,-5
505,1072,500,5,-4
506,1084,501,17,-3
507,1095,501,28,-3
508,1105,502,38,-2
509,1115,502,48,-2
510,1123,503,56,-1
511,1131,504,64,0
512,1137,504,70,0
513,1141,505,74,1
514,1144,505,77,1
515,1146,505,79,1
516,1146,505,79,1
517,1144,505,77,1
518,1140,505,73,1
519,1135,504,68,0
520,1129,504,62,0
521,1121,503,54,-1
522,1112,503,45,-1
523,1103,502,36,-2
524,1092,501,25,-3
525,1081,501,14,-3
526,1070,500,3,-4
527,1058,499,-9,-5
528,1047,499,-20,-5
529,1036,498,-31,-6
530,1026,498,-41,-6
531,1017,498,-50,-6
532,1009,498,-58,-6
533,1002,497,-65,-7
534,996,497,-71,-7
535,992,497,-75,-7
536,990,497,-77,-7
537,989,497,-78,-7
538,989,497,-78,-7
539,992,497,-75,-7
540,996,497,-71,-7
541,1001,497,-66,-7
542,1008,498,-59,-6
543,1015,498,-52,-6
544,1025,498,-42,-6
545,1035,498,-32,-6
546,1045,499,-22,-5
547,1056,499,-11,-5
548,1068,499,1,-5
549,1079,500,12,-4
550,1090,501,23,-3
551,1100,502,33,-2
552,1110,502,43,-2
553,1119,503,52,-1
554,1127,504,60,0
555,1133,504,66,0
556,1138,504,71,0
557,1142,505,75,1
558,1144,505,77,1
559,1144,505,77,1
560,1143,505,76,1
561,1140,505,73,1
562,1136,504,69,0
563,1131,504,64,0
564,1123,503,56,-1
565,1115,503,48,-1
566,1106,502,39,-2
567,1096,501,29,-3
568,1085,501,18,-3
569,1074,500,7,-4
570,1063,499,-4,-5
571,1052,499,-15,-5
572,1041,498,-26,-6
573,1031,498,-36,-6
574,1021,498,-46,-6
575,1013,498,-54,-6
576,1005,498,-62,-6
577,999,498,-68,-6
578,995,497,-72,-7
579,992,497,-75,-7
580,990,497,-77,-7
581,990,497,-77,-7
582,992,497,-75,-7
583,995,497,-72,-7
584,1000,498,-67,-6
585,1006,497,-61,-7
586,1013,498,-54,-6
587,1022,498,-45,-6
588,1031,498,-36,-6
589,1042,498,-25,-6
590,1052,499,-15,-5
591,1064,500,-3,-4
592,1075,500,8,-4
593,1085,500,18,-4
594,1096,501,29,-3
595,1106,502,39,-2
596,1115,503,48,-1
597,1123,503,56,-1
598,1130,504,63,0
599,1136,504,69,0
600,1140,505,73,1
601,1142,505,75,1
602,1143,505,76,1
603,1143,505,76,1
604,1140,505,73,1
605,1137,504,70,0
606,1132,504,65,0
607,1126,503,59,-1
608,1118,502,51,-2
609,1109,502,42,-2
610,1099,501,32,-3
611,1089,501,22,-3
612,1078,500,11,-4
613,1067,500,0,-4
614,1056,499,-11,-5
615,1045,498,-22,-6
616,1035,498,-32,-6
617,1025,498,-42,-6
618,1017,498,-50,-6
619,1009,498,-58,-6
620,1003,497,-64,-7
621,997,497,-70,-7
622,994,497,-73,-7
623,992,497,-75,-7
624,991,497,-76,-7
625,992,497,-75,-7
626,995,497,-72,-7
627,999,497,-68,-7
628,1004,498,-63,-6
629,1011,498,-56,-6
630,1019,498,-48,-6
631,1028,498,-39,-6
632,1038,498,-29,-6
633,1048,499,-19,-5
634,1059,499,-8,-5
635,1070,500,3,-4
636,1081,500,14,-4
637,1092,501,25,-3
638,1102,501,35,-3
639,1111,502,44,-2
640,1119,503,52,-1
641,1127,503,60,-1
642,1133,504,66,0
643,1137,504,70,0
644,1140,504,73,0
645,1142,505,75,1
646,1142,505,75,1
647,1140,504,73,0
648,1138,504,71,0
649,1133,504,66,0
650,1127,503,60,-1
651,1120,503,53,-1
652,1112,502,45,-2
653,1103,502,36,-2
654,1093,501,26,-3
655,1082,501,15,-3
656,1071,500,4,-4
657,1061,500,-6,-4
658,1050,499,-17,-5
659,1039,498,-28,-6
660,1029,498,-38,-6
661,1021,498,-46,-6
662,1012,498,-55,-6
663,1006,497,-61,-7
664,1000,497,-67,-7
665,996,497,-71,-7
666,993,497,-74,-7
667,992,497,-75,-7
668,992,497,-75,-7
669,994,497,-73,-7
670,998,497,-69,-7
671,1003,497,-64,-7
672,1009,498,-58,-6
673,1017,498,-50,-6
674,1025,498,-42,-6
675,1034,498,-33,-6
676,1045,499,-22,-5
677,1055,499,-12,-5
678,1066,500,-1,-4
679,1077,500,10,-4
680,1087,501,20,-3
681,1097,502,30,-2
682,1107,502,40,-2
683,1115,503,48,-1
684,1123,503,56,-1
685,1129,504,62,0
686,1134,504,67,0
687,1138,505,71,1
688,1140,505,73,1
689,1141,505,74,1
690,1140,505,73,1
691,1137,505,70,1
692,1134,504,67,0
693,1128,504,61,0
694,1122,503,55,-1
695,1114,503,47,-1
696,1106,502,39,-2
697,1096,501,29,-3
698,1086,501,19,-3
699,1075,500,8,-4
700,1065,500,-2,-4
701,1054,499,-13,-5
702,1044,499,-23,-5
703,1034,498,-33,-6
704,1025,498,-42,-6
705,1016,498,-51,-6
706,1009,498,-58,-6
707,1003,498,-64,-6
708,999,497,-68,-7
709,995,497,-72,-7
710,994,497,-73,-7
711,994,497,-73,-7
712,995,497,-72,-7
713,998,497,-69,-7
714,1002,498,-65,-6
715,1008,498,-59,-6
716,1014,498,-53,-6
717,1023,498,-44,-6
718,1032,499,-35,-5
719,1041,499,-26,-5
720,1051,499,-16,-5
721,1062,500,-5,-4
722,1073,500,6,-4
723,1083,500,16,-4
724,1093,501,26,-3
725,1103,502,36,-2
726,1112,502,45,-2
727,1119,503,52,-1
728,1126,503,59,-1
729,1132,504,65,0
730,1136,504,69,0
731,1138,504,71,0
732,1140,505,73,1
733,1139,505,72,1
734,1138,505,71,1
735,1134,504,67,0
736,1130,504,63,0
737,1124,503,57,-1
738,1116,503,49,-1
739,1108,502,41,-2
740,1099,502,32,-2
741,1089,501,22,-3
742,1079,501,12,-3
743,1068,500,1,-4
744,1058,499,-9,-5
745,1048,499,-19,-5
746,1038,498,-29,-6
747,1028,499,-39,-5
748,1020,498,-47,-6
749,1012,498,-55,-6
750,1006,498,-61,-6
751,1001,497,-66,-7
752,998,497,-69,-7
753,995,497,-72,-7
754,995,497,-72,-7
